# Baseline generated: 2026-09-25
# Command: go test ./iter -run '^$' -bench . -benchmem -benchtime=5s -count=5 -timeout=30m
# Go: go1.25.0
# GOOS/GOARCH: darwin/arm64
# CPU: Apple M4 Pro
# GOMAXPROCS: 12
# Note: regenerate this baseline on CI hardware once the bench workflow is wired up.
goos: darwin
goarch: arm64
pkg: github.com/purpleclay/conker/iter
cpu: Apple M4 Pro
BenchmarkForEachSeq/workers=24-12              	  142036	     41900 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=24-12              	  144852	     41907 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=24-12              	  144129	     42362 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=24-12              	  141634	     42061 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeqCtx/workers=1-12            	  174973	     34491 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=1-12            	  173559	     34592 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=1-12            	  173104	     34502 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=1-12            	  173958	     34414 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=1-12            	  172042	     34563 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=12-12           	  121052	     49743 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=12-12           	  120289	     49654 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=12-12           	  122578	     49420 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=12-12           	  121710	     49794 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=12-12           	  119293	     49432 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=24-12           	  115580	     52400 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=24-12           	  114270	     52534 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=24-12           	  115545	     52368 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=24-12           	  113804	     52757 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqCtx/workers=24-12           	  114133	     52347 ns/op	    5400 B/op	     212 allocs/op
BenchmarkForEachSeqErr/workers=1-12            	  154338	     38517 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=1-12            	  154708	     38579 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=1-12            	  156528	     38335 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=1-12            	  157112	     38416 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=1-12            	  155348	     37838 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=12-12           	  115636	     52720 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=12-12           	  115347	     52485 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=12-12           	  115392	     52019 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=12-12           	  113874	     52958 ns/op	   15009 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=12-12           	  113788	     52643 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=24-12           	  108271	     55496 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=24-12           	  107572	     55324 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=24-12           	  108253	     55552 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=24-12           	  108537	     55668 ns/op	   15008 B/op	     312 allocs/op
BenchmarkForEachSeqErr/workers=24-12           	  107751	     55364 ns/op	   15008 B/op	     312 allocs/op
BenchmarkMapMap/workers=1-12                   	   85026	     70222 ns/op	   19824 B/op	     412 allocs/op
BenchmarkMapMap/workers=1-12                   	   85090	     70127 ns/op	   19824 B/op	     412 allocs/op
BenchmarkMapMap/workers=1-12                   	   85077	     70148 ns/op	   19824 B/op	     412 allocs/op
BenchmarkMapMap/workers=1-12                   	   85245	     70172 ns/op	   19824 B/op	     412 allocs/op
